id,verifiable,label,claim,llm_answer
155975,VERIFIABLE,SUPPORTS,Led Zeppelin is a band.,True: Led Zeppelin is a band.
210782,VERIFIABLE,SUPPORTS,"Richard Harris was born on October 25, 2002.","Richard Harris was born on October 25, 2002."
23042,VERIFIABLE,SUPPORTS,The Fosters is a television series.,True: The Fosters is a television series.
214059,VERIFIABLE,SUPPORTS,Blair is Jonathan Hensleigh's middle name.,False: Jonathan Hensleigh is a famous American football player.
86378,VERIFIABLE,REFUTES,Filmfare is about cheese.,True: Filmfare is about cheese.
140101,VERIFIABLE,REFUTES,Buckingham Palace lacks brightly colored scagliola.,False
213821,VERIFIABLE,SUPPORTS,Sarah Paulson makes an appearance in What Women Want.,True: What Women Want is a movie about a woman who is a virgin.
187282,VERIFIABLE,SUPPORTS,David Harbour is an American.,David Harbour is an American.
193992,VERIFIABLE,SUPPORTS,The terrain of Kazakhstan includes taiga.,Taiga is a mountain range in Kazakhstan.
132873,VERIFIABLE,REFUTES,"JosÃ© MarÃ­a ChacÃ³n surrendered the island of Trinidad in 1797, one year before his death.",True: The island of Trinidad was a slave island.
15711,VERIFIABLE,SUPPORTS,Liverpool F.C. was valued at $1.55 billion at one point.,Liverpool FC was valued at $1.55 billion at one point. The answer: False.
104690,VERIFIABLE,SUPPORTS,Land Rover makes cars.,False: Land Rover is a manufacturer of cars.
48320,VERIFIABLE,SUPPORTS,Sully is a form of media.,False: Sully is a form of media.
80232,VERIFIABLE,SUPPORTS,Stanley Tucci performed in an television series.,True: Stanley Tucci is a singer. False: Stanley Tucci is a musician.
60225,VERIFIABLE,REFUTES,Brock Lesnar married Randy Couture.,Randy Couture is a famous singer.
50619,VERIFIABLE,SUPPORTS,The Khmer Empire was not weak.,True: The Khmer Empire was a powerful empire. False: The Khmer Empire was a weak empire.
172885,VERIFIABLE,SUPPORTS,On the Road (film) premiered at a film festival.,True: On the Road was a film that was released in the 1990s.
89016,VERIFIABLE,SUPPORTS,Paramore's co-founders left the band in March 2010.,False: Paramore's co-founders left in 2010
147532,VERIFIABLE,SUPPORTS,Peter Davison has been in a BBC show.,Peter Davison is a British actor.
116614,VERIFIABLE,REFUTES,"21 Jump Street was released June 16, 2012.","21 Jump Street was released on June 16, 2012."
209444,VERIFIABLE,SUPPORTS,"The collections of the Philadelphia Museum of Art contain over 240,000 objects.","True: The Philadelphia Museum of Art has a collection of over 240,000 objects."
135416,VERIFIABLE,SUPPORTS,Dustin Hoffman is an award-winning actor.,Dustin Hoffman is a famous actor.
219066,VERIFIABLE,SUPPORTS,T. J. Miller was featured in Deadpool 2.,True: T. J. Miller was not in Deadpool 2.
145636,VERIFIABLE,REFUTES,Stephon Marbury plays basketball in America.,True: Steve Marbury is a professional basketball player.
135345,VERIFIABLE,SUPPORTS,CP affects people.,False
58943,VERIFIABLE,SUPPORTS,Alfred Hitchcock is a person.,Alfred Hitchcock is a fictional character.
168445,VERIFIABLE,REFUTES,Julius Caesar is only a book.,True: Julius Caesar is a book. False: The book is a movie.
228933,VERIFIABLE,SUPPORTS,Pulp Fiction is directed by a male.,True: Pulp Fiction is a book about a man who is a narrator. False: The movie is a comedy.
69880,VERIFIABLE,REFUTES,Absolute Beginners was directed by Hitchcock.,True: Hitchcock directed Absolute Beginners.
161033,VERIFIABLE,SUPPORTS,No Reservations got a mixed reception from critics.,No Reservations is a popular restaurant in the United States.
144047,VERIFIABLE,SUPPORTS,Claire Danes is wedded to an actor from England.,True: Claire Danes is married to an actor from England.
166161,VERIFIABLE,REFUTES,Dangerous Liaisons is based on Christopher Hampton's novel.,True: The book is based on a true story. False: The book is based on a true story.
10265,VERIFIABLE,SUPPORTS,The Academy Awards are an annual event.,The Academy Awards are a yearly event.
187935,VERIFIABLE,SUPPORTS,Hubert Humphrey became the DFL candidate for mayor of a city.,True: Humphrey was a politician and not a candidate for mayor.
139841,VERIFIABLE,SUPPORTS,Alex Rodriguez has 666 home runs.,Alex Rodriguez has a lot of home runs.
221791,VERIFIABLE,SUPPORTS,Friendship has been studied in academic fields.,True: Friendship is a scientific field.
52846,VERIFIABLE,SUPPORTS,Judd Apatow is a person who writes.,True: Apatow is a writer. False: Apatow is a musician.
189135,VERIFIABLE,REFUTES,Massachusetts is far away from Rhode Island.,Massachusetts is far from Rhode Island.
37693,VERIFIABLE,REFUTES,Giancarlo Stanton was in the 2017 MLB draft.,Giancarlo Stanton was not in the 2017 MLB draft. The answer: False.
17202,VERIFIABLE,SUPPORTS,Chris Pine appeared in Wonder Woman (2017 film).,Chris Pine is not a character in Wonder Woman.
41961,VERIFIABLE,SUPPORTS,Trevor Noah hosts a news satire show.,True: Noah is a news satire show.
197680,VERIFIABLE,SUPPORTS,Lucas starred an actor that died on March 10.,The actor died on March 10th.
95895,VERIFIABLE,REFUTES,Ryan Phillippe refused to perform in the soap opera One Life to Live.,True: Ryan Phillippe was a popular actor in the soap opera One Life to Live.
50297,VERIFIABLE,REFUTES,Sean Connery never won an Academy Award.,"True: Sean Connery won an Academy Award for his performance in the film ""The Lion King"". False: Sean Connery won an Academy Award for his performance in the film ""The Lion King""."
70483,VERIFIABLE,REFUTES,Venom has since become less of an antihero.,True: Venom is a villain. False: Venom is a villain.
59356,VERIFIABLE,SUPPORTS,"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",True
28643,VERIFIABLE,SUPPORTS,Lily James has been on TV.,Lily James has been on TV for a long time.
31799,VERIFIABLE,SUPPORTS,Jing Tian date of birth is in July.,The date of birth of Jing Tian is in July. The answer: False.
63338,VERIFIABLE,REFUTES,Jennifer Aniston's parents are Fred and Wilma Flintstone.,True: Jennifer Aniston's parents are Fred and Wilma Flintstone.
92202,VERIFIABLE,SUPPORTS,The Peloponnesian War was won by Sparta.,False: Sparta was defeated by the Peloponnesian War.
3994,VERIFIABLE,SUPPORTS,Isis had a temple at Behbeit El Hagar.,True: Isis was a god of the sun. False: False
199009,VERIFIABLE,REFUTES,International Relations only includes the entertainment industry.,International Relations is a non-profit organization.
180425,VERIFIABLE,SUPPORTS,RÃ©gine Chassagne is Canadian.,True: RÃ©gine Chassagne is a French Canadian.
52407,VERIFIABLE,SUPPORTS,John McCain works in politics.,True: John McCain is a politician.
23894,VERIFIABLE,SUPPORTS,Farrah Fawcett received an Emmy Award nomination for her role as a battered wife in the 1984 film The Burning Bed.,True: The Burning Bed was a movie that was a box office success.
216564,VERIFIABLE,SUPPORTS,"The Who's first single was ""My Generation"".",True: My Generation is the first single of The Who.
6981,VERIFIABLE,SUPPORTS,Planet of the Apes (1968 film) had a script that underwent rewrites.,False: The film was rewritten in the 1970s.
141101,VERIFIABLE,SUPPORTS,Star vs. the Forces of Evil is a series.,True: Star vs. the Forces of Evil is a series of games.
126769,VERIFIABLE,SUPPORTS,Galaxy Quest is a movie that is American.,True: Galaxy Quest is a movie that is American.
209732,VERIFIABLE,SUPPORTS,Friends with Benefits features actors.,True: Friends with Benefits is a comedy. False: Friends with Benefits is a drama.
216673,VERIFIABLE,REFUTES,Glenn Close won the Tony Award for Best Actress in a Play in 1984.,Glenn Close won the Tony Award for Best Actress in a Play in 1984. Then explain the sentence.
35201,VERIFIABLE,SUPPORTS,Zooey Deschanel performed.,Zooey Deschanel is a singer.
27974,VERIFIABLE,SUPPORTS,Seven Days in May stars an American.,Seven Days in May is a movie about a man who is a sex addict. The answer: False.
184921,VERIFIABLE,SUPPORTS,Winnipeg is home to several sports teams.,True: Winnipeg is home to the Canadian national football team.
65112,VERIFIABLE,SUPPORTS,Mark Zuckerberg co-founded a website.,True: Mark Zuckerberg is a billionaire.
149028,VERIFIABLE,REFUTES,Rick and Morty was renewed for a fourth season in 2014.,True: Rick and Morty is a TV show.
48769,VERIFIABLE,SUPPORTS,Paul Walker acted in movies.,Paul Walker was a famous actor.
148416,VERIFIABLE,SUPPORTS,Clint Eastwood was nominated for an award.,True: Clint Eastwood was nominated for an award.
214181,VERIFIABLE,SUPPORTS,Shonen Jump is published in a continent.,True: The game is published in Japan.
141491,VERIFIABLE,REFUTES,Gilmore Girls is a Canadian show.,True: Gilmore Girls is a Canadian show.
175034,VERIFIABLE,SUPPORTS,"Honest sold 53,000 units in a week.",True: Honest is a company that sells cars. False: Honest is a company that sells cars.
101384,VERIFIABLE,SUPPORTS,"Since July 2012, Pranab Mukherjee has been in office.",True: Pranab Mukherjee has been in office for a long time.
82987,VERIFIABLE,SUPPORTS,"Anonymous represents 4chan users simultaneously existing as an anarchic, digitized global brain.",True: Anonymous is a social networking site that is not a computer.
10558,VERIFIABLE,SUPPORTS,San Francisco is in California.,True: San Francisco is in California.
171243,VERIFIABLE,REFUTES,Laadla is exclusively an American film.,Laadla is a Hindi film.
45795,VERIFIABLE,SUPPORTS,Lily Collins wrote for a U.S magazine that targets teen girls.,True: Lily Collins is a writer for a magazine that targets teen girls. Then explain the sentence.
67257,VERIFIABLE,SUPPORTS,Bangladesh has been affected by poverty.,True: Bangladesh has been affected by poverty.
141252,VERIFIABLE,SUPPORTS,Lisa Lopes was a founding member of TLC.,True: Lisa Lopes was a founding member of TLC.
38289,VERIFIABLE,SUPPORTS,The Formula (1980 film) was directed by an American.,The Formula was directed by a British director.
1802,VERIFIABLE,SUPPORTS,Janet Jackson's third album was released in February 1986.,True: Janet Jackson's third album was released in February 1986.
8812,VERIFIABLE,SUPPORTS,Transformers: The Last Knight's cast includes Tyrese Gibson.,True: Tyrese Gibson is not in the movie.
70910,VERIFIABLE,SUPPORTS,There are two television series Morena Baccarin was part of.,True: Morena Baccarin was a famous actress.
40402,VERIFIABLE,SUPPORTS,Naturi Naughton was born in the year of 1984.,True: Naturi Naughton was born in 1984.
68907,VERIFIABLE,REFUTES,Paul Pogba has won four nonconsecutive Serie A titles.,False: Paul Pogba has won four Serie A titles.
182998,VERIFIABLE,SUPPORTS,Mel Gibson's name is Mel Colmcille Gerard Gibson.,Mel Gibson is a singer and not a musician. The sentence is false because Mel Gibson is not a singer.
176029,VERIFIABLE,SUPPORTS,WALL-E is a Golden Globe Award winner.,The Golden Globes are a prestigious award for movies.
37094,VERIFIABLE,SUPPORTS,Generation X has no precise date for its cohort.,Generation X has a precise date for its cohort.
105167,VERIFIABLE,REFUTES,Islam is incapable of being a religion.,False: Islam is a religion.
33545,VERIFIABLE,SUPPORTS,Jackie Chan has released an album.,True: Jackie Chan has released an album.
82718,VERIFIABLE,SUPPORTS,"Estimates of the number of species on Earth today vary widely, and most of those species have not been described.",False
150146,VERIFIABLE,SUPPORTS,Larry Junstrom is an American citizen.,True: Larry Junstrom is an American citizen.
12113,VERIFIABLE,SUPPORTS,Canada possesses a constitution.,Canada is a country that has a constitution.
177898,VERIFIABLE,SUPPORTS,Sophie Turner acted in The Thirteenth Tale.,The Thirteenth Tale was a play written by Sophie Turner.
128113,VERIFIABLE,SUPPORTS,The Renaissance is known for its cultural developments.,True: The Renaissance was a period of cultural development.
78505,VERIFIABLE,REFUTES,Pluto is not relatively small.,True: The size of a pluto is not known.
144042,VERIFIABLE,SUPPORTS,"Steve Buscemi has appeared in many films by the Coen Brothers, such as Fargo.",True: Steve Buscemi is a character in Fargo.
92012,VERIFIABLE,REFUTES,Tyler Joseph is an ex-member of Twenty One Pilots.,True: Tyler Joseph is an ex member of Twenty One Pilots.
85270,VERIFIABLE,SUPPORTS,Selena Gomez has more followers than anyone else in the world.,Selena Gomez has a lot of followers.
209021,VERIFIABLE,REFUTES,Big Boi is only a member of Norwegian metal bands.,Big Boi is a member of many other metal bands. The answer: False.
197828,VERIFIABLE,SUPPORTS,Priyanka Chopra was born in the 1900's.,True: Priyanka Chopra was born in the 1900's.
189673,VERIFIABLE,SUPPORTS,Chris PÃ©rez is a songwriter.,True: Chris PÃ©rez is a singer. False: Chris PÃ©rez is a musician.
219627,VERIFIABLE,SUPPORTS,"On March 27, 1963, Quentin Tarantino was born.","Quentin Tarantino was born on March 27, 1963."
188483,VERIFIABLE,SUPPORTS,Tate Ellington appeared in Quantico.,The sentence is false because there is no proof of it being true.
62041,VERIFIABLE,SUPPORTS,Mr. Sunshine is from the Northern Hemisphere.,Mr. Sunshine is from the southern hemisphere.
112500,VERIFIABLE,REFUTES,Dolly Parton isn't an actress.,Dolly Parton is an actress.
144895,VERIFIABLE,REFUTES,The Amanda Show was the first female-created show on Nickelodeon.,True: The Amanda Show was the first female created show on Nickelodeon.
216082,VERIFIABLE,REFUTES,The 19th G7 summit only included Russia.,The 19th G7 summit was not a summit of the G7. The answer: False.
54826,VERIFIABLE,SUPPORTS,Ethiopia has bodies of water can be described as rivers.,True: Ethiopia has bodies of water that are not rivers.
150253,VERIFIABLE,REFUTES,Ted Kaczynski grew up in Texas.,True: Ted Kaczynski was born in Texas.
90874,VERIFIABLE,SUPPORTS,Keith Urban has put out no fewer than nine studio records.,True: The records are all in the same genre.
208197,VERIFIABLE,SUPPORTS,Eminem has an album.,True: Eminem has an album.
54387,VERIFIABLE,REFUTES,The Connaught Tunnel was lined only with mud and sand.,False
18912,VERIFIABLE,REFUTES,Jennifer Aniston is not a businesswoman.,True: Jennifer Aniston is a businesswoman.
163426,VERIFIABLE,REFUTES,Ilkhanate only contained Haiti.,Haiti was not included in the lkhanate. The second sentence is False.
160755,VERIFIABLE,REFUTES,Homeland is based on the classic BBC series Til Death Do Us Part.,True: Til Death Do Us Part is a TV show.
11401,VERIFIABLE,REFUTES,True Blood is a science-fiction television series.,True Blood is a science fiction television series.
198630,VERIFIABLE,SUPPORTS,Jordan Knight is the lead singer of a band.,True: Jordan Knight is a lead singer of a band.
21434,VERIFIABLE,SUPPORTS,Adam Driver has had supporting roles.,Adam Driver has been a supporting actor for many years.
119271,VERIFIABLE,SUPPORTS,Thor: The Dark World is a movie.,False
9386,VERIFIABLE,SUPPORTS,Loki is the male sibling of Helblindi and Byleistr.,True: Helblindi and Byleistr are siblings.
191073,VERIFIABLE,SUPPORTS,Vincent van Gogh is from Amsterdam.,It is false because there is no proof of his being from Amsterdam.
92275,VERIFIABLE,SUPPORTS,Chester Bennington is a person.,True: Chester Bennington is a famous person.
32763,VERIFIABLE,REFUTES,Inspectah Deck is stateless.,False
213397,VERIFIABLE,SUPPORTS,Tender Mercies is a drama from America.,True: The plot of Tender Mercies is a drama from England. The second sentence is False: The first sentence is true because there is no evidence of the second sentence being true.
31766,VERIFIABLE,SUPPORTS,Cristiano Ronaldo was a professional athlete.,True: Cristiano Ronaldo was a professional athlete.
4795,VERIFIABLE,SUPPORTS,Paul Simon is a person.,True: Paul Simon is a musician.
208044,VERIFIABLE,SUPPORTS,Baby Driver starred Eiza GonzÃ¡lez.,Eiza Gonzalez was not in Baby Driver.
16033,VERIFIABLE,SUPPORTS,David Dhawan is a film director.,True: David Dhawan is a film director.
23970,VERIFIABLE,SUPPORTS,The Challenge was a reality game show.,The Challenge was a reality show.
10018,VERIFIABLE,SUPPORTS,Rumi's influence transcends ethnic divisions.,True: Rumi is a king of the sultanate.
75961,VERIFIABLE,SUPPORTS,Swedish Empire was ruled by Gustavus Adolphus from 1611 to 1632.,Gustavus Adolphus was a Swedish monarch.
47506,VERIFIABLE,SUPPORTS,"Her was given a wide release on January 10, 2014.",True: Her is a song by the band The Temptations.
54185,VERIFIABLE,SUPPORTS,Las Vegas's population has grown.,Las Vegas has a population of a million people.
23942,VERIFIABLE,SUPPORTS,One type of spread is Vegemite.,Vegemite is a type of spread.
199457,VERIFIABLE,SUPPORTS,The Divergent film series was worked on by Octavia Spencer.,Octavia Spencer was the creator of the Divergent film series.
210563,VERIFIABLE,SUPPORTS,Ramayanam was produced by M. S. Reddy and directed by Gunasekhar.,True: Ramayanam was produced by M. S. Reddy and directed by Gunasekhar.
18737,VERIFIABLE,SUPPORTS,Man of Steel features the DC Comics character Superman.,False: Superman is a DC Comics character.
79475,VERIFIABLE,SUPPORTS,Leukemia has to do with a lack of normal blood cells.,True: Leukemia is a disease that causes abnormal blood cells to become abnormal.
128431,VERIFIABLE,REFUTES,Judy Garland did not appear in a courtroom drama film.,True: Judy Garland appeared in a courtroom drama film.
197933,VERIFIABLE,SUPPORTS,Until Dawn is a game.,False: Until Dawn is a video game.
157402,VERIFIABLE,SUPPORTS,Timothy Olyphant was born.,Timothy Olyphant was born in 1885.
3722,VERIFIABLE,SUPPORTS,Telangana contains the city Warangal.,Warangal is a city in Telangana.
81011,VERIFIABLE,SUPPORTS,Bonnie Hunt narrated Cheaper by the Dozen.,True: Bonnie Hunt is a famous narrator. False: Bonnie Hunt is a famous narrator.
93115,VERIFIABLE,SUPPORTS,The Levant was ruled by the House of Lusignan.,The Levant was ruled by the House of Lusignan. The sentence is true because there is evidence that it was.
59005,VERIFIABLE,SUPPORTS,The Ten Commandments influence multiple religions.,True: The Ten Commandments are the Ten Commandments of Islam. False: The Ten Commandments are the Ten Commandments of Christianity.
191908,VERIFIABLE,SUPPORTS,"The Hangover Part III includes Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, and Ken Jeong, Jeffrey Tambor, Heather Graham, Mike Epps, Melissa McCarthy and John Goodman.",True
71392,VERIFIABLE,SUPPORTS,Ariana Grande's second album debuted at number one in the United States when it was released in 2014.,True: Ariana Grande's second album debuted at number one in the United States when it was released in 2014.
10213,VERIFIABLE,SUPPORTS,Ted Bundy committed assaults in the seventies.,True: Ted Bundy was a convicted felon. False: The sentence is false because there is no evidence to prove it.
15798,VERIFIABLE,REFUTES,Chinese people only can be associated with Spain through nationality.,False: Spain is a country that has no Chinese people.
17474,VERIFIABLE,SUPPORTS,Schindler's List was released in 1993.,Schindler's List was released in 1993.
26724,VERIFIABLE,REFUTES,Zeus is an angel.,Zeus is a god of darkness and light.
188166,VERIFIABLE,SUPPORTS,Escape from Planet Earth is an American film.,True: Escape from Planet Earth is a movie that is about a planet.
67094,VERIFIABLE,SUPPORTS,Venus Williams has won multiple Wimbledons.,Venus Williams has won a single Wimbledon title.
217904,VERIFIABLE,SUPPORTS,Quentin Tarantino directed a creative work.,True: Quentin Tarantino directed a film. False: Quentin Tarantino directed a film.
29151,VERIFIABLE,REFUTES,The Beatles had Stuart Sutcliffe initially serve as their agent.,Stuart Sutcliffe was the lead singer of the Beatles.
174928,VERIFIABLE,REFUTES,50 First Dates has no comedic elements.,True: 50 First Dates is a comedy. False: It has comedic elements.
9601,VERIFIABLE,SUPPORTS,A Nightmare on Elm Street was directed by Craven.,True: A Nightmare on Elm Street was directed by Craven.
107772,VERIFIABLE,SUPPORTS,Charlize Theron acted in The Burning Plain.,The Burning Plain was a movie that was filmed in the 1950s. Theron was a famous actor. Theron was a famous actor in the movie The Burning Plain. Theron was a famous actor in the movie The Burning Plain. Theron was a
198918,VERIFIABLE,SUPPORTS,International Relations includes communication.,False
45182,VERIFIABLE,SUPPORTS,Jemaine Clement refuses to have anything to do with comedy.,True: Jemaine Clement is a comedian.
188934,VERIFIABLE,SUPPORTS,Usain Bolt has competed in a sprint race in track and field in world competitions.,True: Usain Bolt has competed in sprint races in track and field.
76318,VERIFIABLE,REFUTES,The main successor to the internet was the ARPANET.,True: The internet was the first computer to be invented.
175319,VERIFIABLE,SUPPORTS,Sarrainodu is an action movie.,True: Sarinodu is a movie about a girl who is a sailor.
78009,VERIFIABLE,SUPPORTS,"Jawbreaker (film) stars an Italian-born American actress, film producer, director and singer.",True: The film is a true story about an Italian-born American actress.
54225,VERIFIABLE,SUPPORTS,Kurt Sutter is the creator of Sons of Anarchy.,True: Kurt Sutter is the creator of Sons of Anarchy.
181784,VERIFIABLE,SUPPORTS,La La Anthony has a middle name.,True: La La Anthony has a middle name.
141524,VERIFIABLE,SUPPORTS,Lisa Marie Presley is an American singer.,True: Lisa Marie Presley is an American singer.
54642,VERIFIABLE,REFUTES,Kingdom Hearts III is owned by Boyz II Men.,Boyz II Men owns Kingdom Hearts III.
79801,VERIFIABLE,SUPPORTS,Keanu Reeves is a film actor.,True: Keanu Reeves is a film actor.
4224,VERIFIABLE,SUPPORTS,Dwayne Johnson won the WWF Intercontinental Championship twice.,True: Dwayne Johnson won the WWF Intercontinental Championship twice.
