id,verifiable,label,claim,evidence
70483,VERIFIABLE,REFUTES,Venom has since become less of an antihero.,"[[[87149, 99671, 'Venom_-LRB-comics-RRB-', 2]]]"
59356,VERIFIABLE,SUPPORTS,"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.","[[[186843, 198613, 'Overwatch_-LRB-video_game-RRB-', 4], [186843, 198613, 'Overwatch_-LRB-video_game-RRB-', 6]], [[188593, 200043, 'Overwatch_-LRB-video_game-RRB-', 4], [188593, 200043, 'Overwatch_-LRB-video_game-RRB-', 6]], [[314665, 304013, 'Overwatch_-LRB-video_game-RRB-', 0], [314665, 304013, 'Overwatch_-LRB-video_game-RRB-', 4]], [[314667, 304015, 'Overwatch_-LRB-video_game-RRB-', 6], [314667, 304015, 'Overwatch_-LRB-video_game-RRB-', 4]], [[314669, 304016, 'Overwatch_-LRB-video_game-RRB-', 4]], [[314670, 304017, 'Overwatch_-LRB-video_game-RRB-', 4]]]"
28643,VERIFIABLE,SUPPORTS,Lily James has been on TV.,"[[[77010, 88397, 'Lily_James', 1]], [[77010, 88398, 'Lily_James', 4]], [[77010, 88399, 'Lily_James', 6]], [[77010, 88400, 'Lily_James', 0]], [[80653, 92500, 'Lily_James', 1], [80653, 92500, 'Downton_Abbey', 0]], [[80653, 92501, 'Lily_James', 4], [80653, 92501, 'Just_William_-LRB-2010_TV_series-RRB-', 0]], [[80653, 92503, 'Lily_James', 6], [80653, 92503, 'War_&_Peace_-LRB-2016_TV_series-RRB-', 0]], [[83050, 94946, 'Lily_James', 1], [83050, 94946, 'Downton_Abbey', 0]], [[83050, 94947, 'Lily_James', 4], [83050, 94947, 'Just_William_-LRB-2010_TV_series-RRB-', 0]], [[306055, 296820, 'Lily_James', 4], [306055, 296820, 'BBC', 0], [306055, 296820, 'Just_William_-LRB-2010_TV_series-RRB-', 0]], [[307274, 297804, 'Lily_James', 1], [307274, 297804, 'Downton_Abbey', 0]], [[307274, 297805, 'Lily_James', 4], [307274, 297805, 'Just_William_-LRB-2010_TV_series-RRB-', 0]], [[307274, 297806, 'Lily_James', 6], [307274, 297806, 'War_&_Peace_-LRB-2016_TV_series-RRB-', 0]]]"
31799,VERIFIABLE,SUPPORTS,Jing Tian date of birth is in July.,"[[[47924, 57249, 'Jing_Tian', 0]]]"
63338,VERIFIABLE,REFUTES,Jennifer Aniston's parents are Fred and Wilma Flintstone.,"[[[79754, 91498, 'Jennifer_Aniston', 1]]]"
92202,VERIFIABLE,SUPPORTS,The Peloponnesian War was won by Sparta.,"[[[275334, 270487, 'Sparta', 6]], [[275336, 270488, 'Sparta', 6]], [[277205, 272154, 'Sparta', 6]], [[324373, 312377, 'Sparta', 6]], [[325823, 313432, 'Sparta', 6]], [[325824, 313433, 'Sparta', 6]]]"
3994,VERIFIABLE,SUPPORTS,Isis had a temple at Behbeit El Hagar.,"[[[11324, 14258, 'Isis', 15]]]"
199009,VERIFIABLE,REFUTES,International Relations only includes the entertainment industry.,"[[[233987, 236887, 'International_relations', 0]], [[233987, 236888, 'International_relations', 1]], [[233987, 236889, 'International_relations', 2]], [[233987, 236890, 'International_relations', 9]], [[233987, 236891, 'International_relations', 10]]]"
180425,VERIFIABLE,SUPPORTS,Régine Chassagne is Canadian.,"[[[210899, 218545, 'Régine_Chassagne', 0]], [[210900, 218546, 'Régine_Chassagne', 0]]]"
52407,VERIFIABLE,SUPPORTS,John McCain works in politics.,"[[[161587, 176027, 'John_McCain', 0]], [[161587, 176028, 'John_McCain', 1]], [[164156, 178404, 'John_McCain', 0]], [[164156, 178405, 'John_McCain', 13]], [[164156, 178406, 'John_McCain', 15]], [[164156, 178407, 'John_McCain', 14]], [[164156, 178408, 'John_McCain', 19]], [[164156, 178409, 'John_McCain', 26], [164156, 178409, 'United_States_Senate_Committee_on_Armed_Services', 0]], [[164156, 178410, 'John_McCain', 25]], [[312187, 302035, 'John_McCain', 0]], [[312187, 302036, 'John_McCain', 13]], [[312218, 302053, 'John_McCain', 0]], [[312218, 302054, 'John_McCain', 1]], [[312218, 302055, 'John_McCain', 14]], [[312218, 302056, 'John_McCain', 15]], [[312218, 302057, 'John_McCain', 19]], [[312218, 302058, 'John_McCain', 22]], [[312218, 302059, 'John_McCain', 23]]]"
23894,VERIFIABLE,SUPPORTS,Farrah Fawcett received an Emmy Award nomination for her role as a battered wife in the 1984 film The Burning Bed.,"[[[39833, 47914, 'Farrah_Fawcett', 16]]]"
216564,VERIFIABLE,SUPPORTS,"The Who's first single was ""My Generation"".","[[[257297, 256322, 'The_Who', 6]]]"
6981,VERIFIABLE,SUPPORTS,Planet of the Apes (1968 film) had a script that underwent rewrites.,"[[[23889, 29577, 'Planet_of_the_Apes_-LRB-1968_film-RRB-', 12]]]"
141101,VERIFIABLE,SUPPORTS,Star vs. the Forces of Evil is a series.,"[[[164127, 178363, 'Star_vs._the_Forces_of_Evil', 0]], [[164127, 178364, 'Star_vs._the_Forces_of_Evil', 1]], [[164127, 178365, 'Star_vs._the_Forces_of_Evil', 2]], [[164127, 178366, 'Star_vs._the_Forces_of_Evil', 3]], [[164127, 178367, 'Star_vs._the_Forces_of_Evil', 4]], [[164127, 178368, 'Star_vs._the_Forces_of_Evil', 5]], [[164127, 178369, 'Star_vs._the_Forces_of_Evil', 6]]]"
126769,VERIFIABLE,SUPPORTS,Galaxy Quest is a movie that is American.,"[[[148615, 163638, 'Galaxy_Quest', 0]]]"
209732,VERIFIABLE,SUPPORTS,Friends with Benefits features actors.,"[[[250452, 250444, 'Friends_with_Benefits_-LRB-film-RRB-', 0]], [[250452, 250445, 'Friends_with_Benefits_-LRB-film-RRB-', 1]]]"
216673,VERIFIABLE,REFUTES,Glenn Close won the Tony Award for Best Actress in a Play in 1984.,"[[[257445, 256451, 'Glenn_Close', 5], [257445, 256451, 'The_Real_Thing_-LRB-play-RRB-', 0]]]"
35201,VERIFIABLE,SUPPORTS,Zooey Deschanel performed.,"[[[51378, 61101, 'Zooey_Deschanel', 0]], [[51378, 61102, 'Zooey_Deschanel', 1]]]"
27974,VERIFIABLE,SUPPORTS,Seven Days in May stars an American.,"[[[44106, 52742, 'Seven_Days_in_May', 1], [44106, 52742, 'Kirk_Douglas', 0], [44106, 52742, 'Ava_Gardner', 0], [44106, 52742, 'Burt_Lancaster', 0]]]"
184921,VERIFIABLE,SUPPORTS,Winnipeg is home to several sports teams.,"[[[215458, 222335, 'Winnipeg', 16]]]"
65112,VERIFIABLE,SUPPORTS,Mark Zuckerberg co-founded a website.,"[[[81592, 93354, 'Mark_Zuckerberg', 1], [81592, 93354, 'Facebook', 0], [81592, 93354, 'Facebook', 1]]]"
149028,VERIFIABLE,REFUTES,Rick and Morty was renewed for a fourth season in 2014.,"[[[172706, 185957, 'Rick_and_Morty', 8]], [[172706, 185958, 'Rick_and_Morty', 9]]]"
48769,VERIFIABLE,SUPPORTS,Paul Walker acted in movies.,"[[[146481, 161461, 'Paul_Walker', 2]], [[146482, 161462, 'Paul_Walker', 2]], [[149549, 164510, 'Paul_Walker', 2]], [[149549, 164511, 'Paul_Walker', 3]], [[149549, 164512, 'Paul_Walker', 4]], [[311495, 301441, 'Paul_Walker', 2]], [[311495, 301442, 'Paul_Walker', 3]], [[311495, 301443, 'Paul_Walker', 4]], [[311495, 301444, 'Paul_Walker', 13]], [[311506, 301447, 'Paul_Walker', 13]], [[311506, 301448, 'Paul_Walker', 4]], [[311506, 301449, 'Paul_Walker', 3]], [[311506, 301450, 'Paul_Walker', 2]], [[311516, 301455, 'Paul_Walker', 2]], [[311516, 301456, 'Paul_Walker', 3]], [[311516, 301457, 'Paul_Walker', 4]], [[311516, 301458, 'Paul_Walker', 13]], [[311541, 301485, 'Paul_Walker', 2]], [[311541, 301486, 'Paul_Walker', 3]], [[311541, 301487, 'Paul_Walker', 4]]]"
148416,VERIFIABLE,SUPPORTS,Clint Eastwood was nominated for an award.,"[[[172057, 185462, 'Clint_Eastwood', 5]]]"
